YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"WEEK ENDING","PROGRESS in PCT PLANTED","PROGRESS, 5 YEAR AVG in PCT PLANTED","PROGRESS, PREVIOUS YEAR in PCT PLANTED","PROGRESS in PCT EMERGED","PROGRESS, 5 YEAR AVG in PCT EMERGED","PROGRESS, PREVIOUS YEAR in PCT EMERGED","PROGRESS in PCT BLOOMING","PROGRESS, 5 YEAR AVG in PCT BLOOMING","PROGRESS, PREVIOUS YEAR in PCT BLOOMING","PROGRESS in PCT SETTING PODS","PROGRESS, 5 YEAR AVG in PCT SETTING PODS","PROGRESS, PREVIOUS YEAR in PCT SETTING PODS","PROGRESS in PCT DROPPING LEAVES","PROGRESS, 5 YEAR AVG in PCT DROPPING LEAVES","PROGRESS, PREVIOUS YEAR in PCT DROPPING LEAVES","PROGRESS in PCT HARVESTED","PROGRESS, 5 YEAR AVG in PCT HARVESTED","PROGRESS, PREVIOUS YEAR in PCT HARVESTED"
2016,"NORTH CAROLINA",37," "," ","WEEK #15",SOYBEANS,2016-04-17,0,0,0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2016,"NORTH CAROLINA",37," "," ","WEEK #16",SOYBEANS,2016-04-24,1,2,1," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2016,"NORTH CAROLINA",37," "," ","WEEK #17",SOYBEANS,2016-05-01,5,3,1," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2016,"NORTH CAROLINA",37," "," ","WEEK #18",SOYBEANS,2016-05-08,10,10,9," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2016,"NORTH CAROLINA",37," "," ","WEEK #19",SOYBEANS,2016-05-15,24,21,22,5,7,6," "," "," "," "," "," "," "," "," "," "," "," "
2016,"NORTH CAROLINA",37," "," ","WEEK #20",SOYBEANS,2016-05-22,32,34,41,16,16,16," "," "," "," "," "," "," "," "," "," "," "," "
2016,"NORTH CAROLINA",37," "," ","WEEK #21",SOYBEANS,2016-05-29,46,45,53,29,28,29," "," "," "," "," "," "," "," "," "," "," "," "
2016,"NORTH CAROLINA",37," "," ","WEEK #22",SOYBEANS,2016-06-05,57,55,59,42,42,42," "," "," "," "," "," "," "," "," "," "," "," "
2016,"NORTH CAROLINA",37," "," ","WEEK #23",SOYBEANS,2016-06-12,67,64,67,56,51,53," "," "," "," "," "," "," "," "," "," "," "," "
2016,"NORTH CAROLINA",37," "," ","WEEK #24",SOYBEANS,2016-06-19,79,75,78,68,63,64," "," "," "," "," "," "," "," "," "," "," "," "
2016,"NORTH CAROLINA",37," "," ","WEEK #25",SOYBEANS,2016-06-26,88,84,88,77,74,75,1,2,3," "," "," "," "," "," "," "," "," "
2016,"NORTH CAROLINA",37," "," ","WEEK #26",SOYBEANS,2016-07-03,96,90,95,89,85,86,13,8,11," "," "," "," "," "," "," "," "," "
2016,"NORTH CAROLINA",37," "," ","WEEK #27",SOYBEANS,2016-07-10,98,94,97,94,90,93,25,17,22,2,3,2," "," "," "," "," "," "
2016,"NORTH CAROLINA",37," "," ","WEEK #28",SOYBEANS,2016-07-17," "," "," ",98,93,97,32,27,34,14,9,12," "," "," "," "," "," "
