YEAR,Planting Curve Parameters,Harvesting Curve Parameters
2014,[ 1.21387007e+02 3.36675065e+01 6.85517860e-02 -3.37030777e+01],[ 1.82055689e+02 2.33525906e+02 4.66130311e-02 -4.94302093e+00]
2015,[ 1.27498008e+02  5.32853797e+01  5.75020674e-02 -2.51118498e+01],[6.36766135e+01 2.13941852e+02 8.97552001e-02 7.73528934e-01]
2016,[ 1.32219576e+02  6.24436044e+01  5.27787517e-02 -1.56578833e+01],[8.37734635e+01 2.17767888e+02 9.36463532e-02 3.85495361e+00]
2017,[ 1.11109287e+02 5.96836332e+01 6.93768841e-02 -8.04470630e+00],[ 8.93785465e+01  2.05411825e+02  5.36758024e-02 -1.10197988e+01]
2018,[ 1.40100454e+02 5.66064204e+01 4.70648396e-02 -2.39294516e+01],[6.73346321e+01 2.11892161e+02 8.60648638e-02 1.13280764e+00]
2019,[ 2.07581237e+02 3.85705745e+01 3.08901198e-02 -8.30477974e+01],[ 1.22506380e+02 2.19549980e+02 3.36709844e-02 -1.23546260e+01]
2020,[ 1.02667345e+02 5.32826381e+01 7.06230842e-02 -8.57435665e+00],[ 1.20293298e+02  2.32065246e+02  5.13065131e-02 -3.24830804e+00]
2021,[ 1.23880341e+02 4.89810425e+01 5.00781069e-02 -1.80019974e+01],[ 1.00539953e+02  2.17993097e+02  7.23563479e-02 -7.39337128e-01]
2022,[ 9.73113881e+01  5.02089015e+01  9.23808229e-02 -4.26496398e+00],[ 5.27364828e+02 2.77282962e+02 3.66518001e-02 -9.70820341e+00]
2023,[ 1.06649362e+02 4.27016716e+01 8.10985616e-02 -1.37622312e+01],[ 4.05211935e+02 2.82148759e+02 1.77067590e-02 -4.58154762e+01]
