,Planting_Date_Array,Season_Length_Array,Year
0,"[35.46545158 38.67427272 41.60632031 44.32726264 46.88462046 49.31423555
 51.64415555 53.89709696 56.09208484 58.2455982  60.37241234 62.48625671
 64.60036684 66.72798827 68.88288151 71.07987699 73.33553865 75.66901592
 78.10320465 80.6664125 ]","[155.2187631  157.54501882 158.55793735 158.98660252 159.10993158
 159.06002985 158.90833481 158.6975615  158.45573374 158.20320836
 157.95668035 157.73188336 157.54588615 157.41964751 157.38160582
 157.47363817 157.76227031 158.36244807 159.49595919 161.67007441]",2016
1,"[32.36820749 35.30885316 38.07214419 40.69522498 43.2071932  45.63156699
 47.98793374 50.29309972 52.56192736 54.80797532 57.04401631 59.28248532
 61.53589888 63.8172812  66.14063437 68.52149685 70.97765007 73.53006127
 76.20420082 79.03196306]","[157.60895    159.46189969 160.49799378 161.12059209 161.520251
 161.80369473 162.04015826 162.28213989 162.5770421  162.97608093
 163.54433244 164.37665537 165.62980394 167.6019004  170.98714989
 178.18661138          nan          nan          nan          nan]",2018
2,"[31.89952729 35.09600147 37.92889482 40.50598838 42.89848204 45.15671371
 47.31845285 49.41367836 51.4675657  53.5025274  55.53976632 57.60062906
 59.7079827  61.88784525 64.17158317 66.59919481 69.22465647 72.12537143
 75.42046142 79.31045932]","[159.4422469  161.71076566 163.42236039 164.78383549 165.90542152
 166.8515798  167.66236431 168.36354255 168.97179312 169.49749466
 169.94620314 170.31931445 170.61411399 170.82323055 170.93333856
 170.92270325 170.75668904 170.37929405 169.69610406 168.53630581]",2020
3,"[31.14008109 34.11813519 36.653601   38.89616105 40.935419   42.83010034
 44.62161286 46.34111206 48.01355141 49.66022981 51.30057344 52.95356151
 54.63907069 56.37938423 58.20117098 60.13842331 62.23727697 64.56467943
 67.22561916 70.40196783]","[157.50411527 159.40059839 161.05581908 162.49555908 163.74588981
 164.82838896 165.75967952 166.55191057 167.21330534 167.74854671
 168.15893786 168.44230482 168.59258538 168.59899134 168.44452245
 168.10339721 167.53651305 166.68299404 165.44313017 163.63966848]",2022
4,"[36.46096746 38.90392913 41.21937613 43.4362102  45.57764844 47.66302589
 49.70903937 51.73065503 53.74181547 55.75603597 57.78695619 59.84890469
 61.95753634 64.13061719 66.38906402 68.75840672 71.27095874 73.96920885
 76.91142191 80.18149446]","[157.7025448  159.78342492 161.10431986 162.0291282  162.73598229
 163.32868491 163.87824513 164.44257465 165.07897263 165.85597328
 166.87043769 168.2811497  170.39259948 173.93112381 181.56697944
          nan          nan          nan          nan          nan]",2015
5,"[31.84500924 34.16053559 36.46484805 38.76383797 41.06331554 43.36909836
 45.68710028 48.02342396 50.38446076 52.77700236 55.20836904 57.68656136
 60.22044344 62.81996959 65.4964698  68.26301656 71.1349049  74.13029333
 77.27107721 80.58410653]","[143.16652542 146.4949035  149.27726135 151.65196807 153.71359232
 155.52975028 157.15064869 158.61483856 159.95287476 161.18976198
 162.34667611 163.44225066 164.49361397 165.51731094 166.5302228
 167.55060436 168.59939304 169.70202286 170.8911351  172.2108981 ]",2019
6,"[36.03827459 39.29849837 42.16278083 44.74755933 47.12850047 49.35814627
 51.47506282 53.50900588 55.48405698 57.42066361 59.3370697  61.25041326
 63.1776677  65.13656055 67.1465972  69.2303456  71.41521351 73.73611037
 76.2397236  78.99188855]","[147.40266765 148.18342164 149.00163679 149.85100247 150.73389521
 151.65739552 152.63203073 153.67174602 154.79465487 156.0245566
 157.39351394 158.9461884  160.74741056 162.89624588 165.55446738
 169.01143119 173.85994854 181.63186728 199.13582759          nan]",2017
7,"[25.27633385 27.16574629 29.00291933 30.8040836  32.58372342 34.35532824
 36.13202542 37.92717122 39.75496813 41.63118205 43.57405599 45.6055656
 47.75325751 50.05310099 52.55417735 55.32691199 58.47871663 62.18692589
 66.77878405 72.97296636]","[156.45238517 159.76909461 162.29285487 164.27095502 165.8472494
 167.110985   168.11960368 168.91041958 169.50693833 169.92230551
 170.16101992 170.21940327 170.08493468 169.73422087 169.12889859
 168.20783959 166.8718393  164.95093715 162.12463462 157.68054224]",2014
8,"[27.29594315 29.63391037 31.77438161 33.77031141 35.65985468 37.47204567
 39.2301571  40.95384261 42.66061967 44.36700292 46.08948404 47.84550805
 49.6545954  51.5398022  53.52982088 55.66226157 57.98917949 60.58715666
 63.57752172 67.17230198]","[151.26773453 153.13834953 154.99592741 156.81225692 158.56996906
 160.25766576 161.86717267 163.39186723 164.8255623  166.16166189
 167.39241176 168.50810861 169.49612882 170.33959176 171.01536121
 171.4908489  171.71855822 171.62606254 171.09583624 169.91934606]",2023
9,"[24.40335048 27.65405842 30.6648783  33.49249189 36.17931132 38.75839981
 41.25654964 43.69631639 46.09744124 48.47791024 50.85480559 53.24505554
 55.66616734 58.13702429 60.67884162 63.31641138 66.07983821 69.00710489
 72.14807845 75.57113321]","[164.23947512 165.6440693  166.38139612 166.74527048 166.8794473
 166.86259254 166.74115403 166.54409717 166.29023525 165.99217576
 165.65858779 165.29558657 164.90764113 164.49823468 164.0704325
 163.62749798 163.17374384 162.71595077 162.26606007 161.8468371 ]",2021
